0,1,0x185BA,0,0x0,World 1 Map
0,2,0x1864B,0,0x0,World 2 Map
0,3,0x1876C,0,0x0,World 3 Map
0,4,0x1891D,0,0x0,World 4 Map
0,5,0x18A3E,0,0x0,World 5 Map
0,6,0x18B5F,0,0x0,World 6 Map
0,7,0x18D10,0,0x0,World 7 Map
0,8,0x18E31,0,0x0,World 8 Map
0,9,0x19072,0,0x0,Warp Zone
1,1,0x1FB9B,0xC538,0x1,Level 1
1,2,0x20F43,0xC6BB,0x3,Level 2
1,3,0x1EE22,0xC2FF,0x1,Level 3
1,4,0x2351A,0xCC44,0x4,Level 4
1,5,0x1AA5A,0xC93C,0xE,Level 5
1,6,0x233C1,0xCC1E,0x4,Level 6
1,7,0x2A976,0xD33C,0x2,Dungeon
1,8,0x2EDD0,0xD6FB,0xA,Ship
1,9,0x1FCAC,0xC017,0x1,Level 1 Bonus Area
1,10,0x1FA62,0xC017,0x1,Level 2 Bonus Area
1,11,0x274A3,0xCFE3,0xD,Level 3 Bonus Area
1,12,0x1FE61,0xC595,0x1,Level 4 Ending
1,13,0x2788D,0xD03D,0xD,Level 5 Bonus
1,14,0x1FD81,0xC571,0x1,Level 5 Ending
1,15,0x2AA43,0xD362,0x2,Dungeon Spike Room
1,16,0x2FA1B,0xD9F7,0xA,Ship Boss Room
1,17,0x21404,0xC73C,0x3,Hammer Bros 1
1,18,0x2141E,0xC73C,0x3,Hammer Bros 2
1,19,0x2A850,0xD2C0,0x2,End Castle
1,20,0x2EC42,0xD6AD,0xA,Anchors Away
1,21,0x2FC2E,0xDA15,0xA,Coin Ship
1,22,0x2FCD1,0xDA20,0xA,Coin Ship Boss Room
2,1,0x29478,0xD19A,0x9,Level 1
2,2,0x218B1,0xC8A6,0x3,Level 2
2,3,0x2992E,0xD201,0x9,Level 3
2,4,0x29C91,0xD270,0x9,Level 4
2,5,0x29753,0xD1D2,0x9,Level 5
2,6,0x29AD3,0xD233,0x9,Dungeon
2,7,0x21626,0xC854,0x3,Quicksand
2,8,0x20590,0xC5CD,0x3,Pyramid
2,9,0x2EEC4,0xD72D,0xA,Ship
2,10,0x29644,0xC017,0x9,Level 1 Bonus Area
2,11,0x29F31,0xD2B6,0x9,Level 2 Ending
2,12,0x29F41,0xD2BB,0x9,Level 3 Ending
2,13,0x298C0,0xC017,0x9,Level 5 Bonus Area
2,14,0x29C15,0xD265,0x9,Dungeon Spike Room
2,15,0x28F3F,0xD108,0x9,Pyramid Outside Area
2,16,0x2FA64,0xD9FC,0xA,Ship Boss Room
2,17,0x20CCE,0xC013,0x3,Hidden Hammer Bros
2,18,0x2920F,0xD15E,0x9,Hammer Bros 1
2,19,0x2920F,0xD153,0x9,Hammer Bros 2
2,20,0x1ADB2,0xC154,0xE,Pipe 1 End 1
2,21,0x1AE01,0xC154,0xE,Pipe 1 End 2
2,22,0x2A800,0xD2C0,0x2,End Castle
2,23,0x2EC10,0xD6AD,0xA,Anchors Away
3,1,0x25323,0xCE36,0x6,Level 1
3,2,0x227E9,0xCA34,0x4,Level 2
3,3,0x1FE82,0xC59F,0x1,Level 3
3,4,0x1B732,0xC9C4,0xE,Level 4
3,5,0x25073,0xCDFC,0x6,Level 5
3,6,0x22952,0xCA74,0x4,Level 6
3,7,0x1F8D5,0xC47F,0x1,Level 7
3,8,0x1AC72,0xC965,0xE,Level 8
3,9,0x1F121,0xC3A0,0x1,Level 9
3,10,0x2AB9A,0xD3A4,0x2,Dungeon #1
3,11,0x2AA92,0xD373,0x2,Dungeon #2
3,12,0x2F022,0xD768,0xA,Ship
3,13,0x1FA4B,0xC4C0,0x1,Level 1 Ending
3,14,0x228E3,0xCA69,0x4,Level 2 Ending
3,15,0x1FFB3,0xC5C8,0x1,Level 3 Ending
3,16,0x1B2A4,0xC991,0xE,Level 5 Bonus Area
3,17,0x1EF13,0xC32E,0x1,Level 5 Ending
3,18,0x22A56,0xCA97,0x4,Level 6 Ending
3,19,0x26B68,0xCE9A,0xD,Level 7 Bonus Area
3,20,0x1FD4C,0xC56C,0x1,Level 8 Ending
3,21,0x1B2A4,0xC994,0xE,Level 9 Bonus Area
3,22,0x1F32B,0xC3E4,0x1,Level 9 Ending
3,23,0x2AC61,0xD3D6,0x2,Dungeon #1 Water Room
3,24,0x2AB24,0xD390,0x2,Dungeon #2 Water Room
3,25,0x2FAB9,0xDA01,0xA,Ship Boss Room
3,26,0x1F400,0xC651,0x1,Hammer Bros 1
3,27,0x1F420,0xC651,0x1,Hammer Bros 2
3,28,0x1FE14,0xC651,0x1,Hammer Bros 3
3,29,0x1FDF1,0xC651,0x1,Hammer Bros 4
3,30,0x21400,0xC651,0x3,Hidden Hammer Bros
3,32,0x1AF9A,0xC159,0xE,Pipe 1 End 1
3,31,0x1AFF8,0xC159,0xE,Pipe 1 End 2
3,33,0x1AE50,0xC15E,0xE,Pipe 2 End 1
3,34,0x1AEAD,0xC15E,0xE,Pipe 2 End 2
3,35,0x1AF0A,0xC163,0xE,Pipe 3 End 1
3,36,0x1AF52,0xC163,0xE,Pipe 3 End 2
3,36,0x2A810,0xD2C0,0x2,End Castle
3,36,0x2EC29,0xD6AD,0xA,Anchors Away
4,1,0x26BA1,0xCEA8,0xB,Level 1
4,2,0x27080,0xCF25,0xB,Level 2
4,3,0x216EE,0xC874,0x3,Level 3
4,4,0x272C6,0xCFCA,0xB,Level 4
4,5,0x27745,0xCFFD,0xB,Level 5
4,6,0x1EAF8,0xC268,0x1,Level 6
4,7,0x2B6BF,0xD539,0x2,Dungeon #1
4,8,0x2B5D7,0xD519,0x2,Dungeon #2
4,9,0x2F153,0xD7A9,0xA,Ship
4,10,0x2796B,0xD042,0xB,Level 1 Bonus Area
4,11,0x1FDD1,0xC571,0x1,Level 1 Ending
4,12,0x1FDD1,0xC571,0x1,Level 2 Ending
4,13,0x27028,0xCF1D,0xB,Level 3 Beginning
4,14,0x1FDD1,0xC571,0x1,Level 3 Ending
4,15,0x1FA9C,0xC017,0x1,Level 4 Bonus Area
4,16,0x1FDD1,0xC571,0x1,Level 4 Ending
4,17,0x1EF49,0xC336,0x1,Level 5 Bonus Area
4,18,0x1FDD1,0xC571,0x1,Level 5 Ending
4,19,0x1E88E,0xC1EB,0x1,Level 6 Small Side
4,20,0x1B152,0xC979,0xE,Dungeon #1 Underground Room
4,21,0x25292,0xCE28,0x8,Dungeon #2 Pipe Room
4,22,0x1B38B,0xC999,0xE,Dungeon #2 Bonus Area
4,23,0x2EC5B,0xD6B2,0xA,Ship Boss Room
4,24,0x27F77,0xD0FB,0xB,Hammer Bros 1
4,25,0x1ADB2,0xC168,0xE,Pipe 1 End 1
4,26,0x1AE01,0xC168,0xE,Pipe 1 End 2
4,27,0x1AF9A,0xC16D,0xE,Pipe 2 End 1
4,28,0x1AFF8,0xC16D,0xE,Pipe 2 End 2
4,30,0x2A820,0xD2C0,0x2,End Castle
4,31,0x2F43E,0xD6AD,0xA,Anchors Away
5,1,0x1F464,0xC3F3,0x1,Level 1
5,2,0x1A590,0xC8CF,0xE,Level 2
5,3,0x1EC57,0xC2AF,0x1,Level 3
5,4,0x27A65,0xD04A,0xD,Level 4
5,5,0x22F1B,0xCB1B,0x4,Level 5
5,6,0x2715A,0xCF51,0xD,Level 6
5,7,0x26ED1,0xCEEE,0xD,Level 7
5,8,0x26A78,0xCE81,0xD,Level 8
